Question,Type,Testing,Table testing,Notes,Query,Supported by current data,,TOKEN_SNAPSHOT,,RUNNING_TOKEN_BALANCES,,VIRTUALS_AGENTS
How many holders of AIXBT are there?,Holder,"snapshot, one token with unique name",TOKEN_SNAPSHOT,,"select holder_count from token_snapshot 
where lower(name)='aixbt'
order by snapshot time desc
limit 1",Yes,,,,,,
How many holders of Luna are there?,Holder,"snapshot, one token mith multiple similar names",TOKEN_SNAPSHOT,"There are multiple tokens with Luna in the name, so needs to pick the right one (or ask clarification question)","select holder_count from token_snapshot 
where lower(symbol)='luna'
order by snapshot time desc
limit 1",Yes,,,,,,
How many holders of $AIXBT are there?,Holder,"snapshot, one token with unique name, using crypto symbol rather than name",TOKEN_SNAPSHOT,"Needs to understand the permutations of a name e.g. VaderAI, Vader AI, $VADER, Vader, VaderAI by Virtuals are all the same token

Plus various capitalizations or not e.g. aixbt, Aixbt etc","select holder_count from token_snapshot 
where lower(symbol)='aixbt'
order by snapshot time desc
limit 1",Yes,,,,,,
"How many holders currently have more than 20,000 AIXBT?",Holder,"snapshot, with relative filter, one token with unique name",RUNNING_TOKEN_BALANCES,,"with balances as (
    select holder,
    max_by(running_balance, balance_change_time) as balance
    from running_token_balances b
    left join virtuals_agents a on b.token_address=a.agent_token_address
    where lower(a.name)='aixbt'
    group by holder
)

select count(*) from balances
where balance>20000",Yes,,,,,,
"Which token has more holders, AIXBT or VaderAI?",Holder,"snapshot, comparison, two tokens with unique names",TOKEN_SNAPSHOT,,"This is easier if it can send two queries:

1. select holder_count from token_snapshot 
where lower(name)='aixbt'
order by snapshot time desc
limit 1

2. select holder_count from token_snapshot 
where lower(name)='vaderai'
order by snapshot time desc
limit 1",Yes,,,,,,
How many holders have tokens from 5 or more Virtuals agents?,Holder,"snapshot, multi-token comparison, tokens not named",RUNNING_TOKEN_BALANCES,"Including ""Virtuals"" may confuse things since it is also a token - this is delibarate","with balances as (
    select holder,
    token_address,
    max_by(running_balance, balance_change_time) as balance
    from running_token_balances
    group by holder, token_address
    having balance > 0
), 

holders_with_5 as (
    select holder,
    count(*) as token_count
    from balances
    group by holder
    having token_count >= 5
)

select count(*) from holders_with_5",Yes,,,,,,
How many new token holders that didn't own before but now do are there for AIXBT today compared to 3 months ago?,Holder,"time comparison, complex calculation since is between two dates, one token only",RUNNING_TOKEN_BALANCES,,"with holders_3m as (
    select holder,
    max_by(running_balance, balance_change_time) as balance
    from running_token_balances b
    left join virtuals_agents a
    on b.token_address=a.agent_token_address
    where lower(a.name)='aixbt'
    and balance_change_time <= dateadd('month', -3, sysdate())
    group by holder
    having balance > 0
), 

holders_now as (
    select holder,
    max_by(running_balance, balance_change_time) as balance
    from running_token_balances b
    left join virtuals_agents a
    on b.token_address=a.agent_token_address
    where a.name='aixbt'
    group by holder
    having balance > 0
)

select count(*) from holders_now 
where holder not in (select holder from holders_3m)",Yes,,,,,,
Which token has gained more new holders compared to 3 months ago - AIXBT or VaderAI?,Holder,"time comparison, complex calculation since is between two dates, across two tokens",TOKEN_SNAPSHOT,,"with holders_3m as (
    select 
    name,
    max_by(holder_count, snapshot_time) as holder_3m
    from token_snapshot
    where lower(name) in ('aixbt', 'vaderai')
    and snapshot_time<=dateadd('month', -3, sysdate())
    group by name
),

holders_now as (
    select 
    name,
    max_by(holder_count, snapshot_time) as holder_now
    from token_snapshot
    where lower(name) in ('aixbt', 'vaderai')
    group by name
)


select name,
holder_now - holder_3m as absolute_change,
absolute_change/holder_3m*100 as relative_change
from holders_now join holders_3m using(name)",Yes,,,,,,
How many whales are there for AIXBT?,Holder,"snapshot, one token with unique name, needs interpretation of whale?",RUNNING_TOKEN_BALANCES + TOKEN_SNAPSHOT,"If need to interpret whale, then use more than $100,000 of tokens.","with aixbt_whales as (
    select holder,
    max_by(running_balance, balance_change_time) as balance,
    balance * usd_price as balance_usd
    from running_token_balances b
    left join token_snapshot t  
    on b.token_address=t.token_address
    and t.snapshot_time=(select max(snapshot_time) from token_snapshot 
                        where lower(name)='aixbt' and usd_price is not null
                        )
    where lower(t.name)='aixbt'
    group by holder, usd_price
    having balance_usd > 100000
    
)

select count(*) from aixbt_whales",Yes,,,,,,
"How many whales are there for AIXBT, VaderAI and Luna tokens?",Holder,"snapshot, comparison across three tokens, needs interpretation of whale","RUNNING_TOKEN_BALANCES 
+ TOKEN_SNAPSHOT","If need to interpret whale, then use more than $100,000 of tokens","Same as above, but 3 queries with 3 different names","Yes

NOTE: No pricing for Luna at the moment, failing diffs
decoding, just change to any other token in the query",,,,,,
