input_input,output_sql
How correlated were VaderAI and AIXBT prices during January 2025?,"SELECT CORR(vaderai_price, aixbt_price) AS price_correlation
FROM
  (SELECT SNAPSHOT_TIME,
          USD_PRICE AS vaderai_price
   FROM TOKEN_SNAPSHOT
   WHERE lower(NAME) = 'vaderai'
     AND SNAPSHOT_TIME BETWEEN '2025-01-01' AND '2025-01-31') AS vaderai_prices
JOIN
  (SELECT SNAPSHOT_TIME,
          USD_PRICE AS aixbt_price
   FROM TOKEN_SNAPSHOT
   WHERE lower(NAME) = 'aixbt'
     AND SNAPSHOT_TIME BETWEEN '2025-01-01' AND '2025-01-31') AS aixbt_prices ON vaderai_prices.SNAPSHOT_TIME = aixbt_prices.SNAPSHOT_TIME"
Which token has seen the biggest increase in total value locked (TVL) from the beginning to the end of January 2025? Which one and by how much?,"WITH january_tvl AS
  (SELECT NAME,
          TOKEN_ADDRESS,
          min_by(TVL, SNAPSHOT_TIME) AS min_tvl,
          max_by(TVL, SNAPSHOT_TIME) AS max_tvl
   FROM TOKEN_SNAPSHOT
   WHERE SNAPSHOT_TIME >= '2025-01-01 00:00:00'
     AND SNAPSHOT_TIME < '2025-02-01 00:00:00'
     AND TVL IS NOT NULL
   GROUP BY NAME,
            TOKEN_ADDRESS)
SELECT NAME,
       TOKEN_ADDRESS,
       (max_tvl - min_tvl) AS tvl_change
FROM january_tvl
ORDER BY tvl_change DESC
LIMIT 1"
and in February 2025?,SELECT * FROM VIRTUALS_AGENTS WHERE CREATED_AT >= '2025-02-01' AND CREATED_AT < '20
How many holders had tokens from 5 or more Virtuals agents as of the end of January 2025?,
How has the market cap of the top 3 Virtuals agents at the end of February 2025 changed in the time between December 2024 and February 2025?,"with top3_agents as (
    select token_address,
    total_supply * usd_price as market_cap
    from agents.smart.token_snapshot 
    where snapshot_time < '2025-03-01'
    order by snapshot_time desc, market_cap desc nulls last
    limit 3
)

select token_address, name, date_trunc('day', snapshot_time) as day,
max_by(total_supply, snapshot_time) * max_by(usd_price, snapshot_time) as daily_market_cap
from agents.smart.token_snapshot
where token_address in (select token_address from top3_agents)
and day between '2024-12-01' and '2025-02-28'
group by token_address, name, day
order by day"
show me the top 5 agent tokens by amount sold on January 2025,"SELECT
  name,
  token_address,
  SUM(sell_amount) AS total_sell_amount
FROM
  token_snapshot
WHERE
  DATE_TRUNC('MONTH', snapshot_time) = '2025-01-01'
GROUP BY
  name,
  token_address
ORDER BY
  total_sell_amount DESC NULLS LAST
LIMIT
  5"
Which token has seen the biggest price change from the beginning of November 2024 to the end of January 2025? AIXBT or VaderAI? What were the changes of each? (do not use percentages) ,
How many transactions of AIXBT have there been each month between December 2024 and February 2025?,"select date_trunc('month', snapshot_time) as month,
sum(transfer_count + buy_count + sell_count + burn_count + mint_count)
from agents.smart.token_snapshot
where name='aixbt'
and month between '2024-12-01' and '2025-02-28'
group by month
order by month"
Which Virtuals agent has seen the biggest total price increase from the beginning of November 2024 to the end of January 2025?,
How many new token holders (as of end of January 2025) that didn't own before  are there for AIXBT today compared to the end of November 2024?,
Show a chart for the distribution of holders of VaderAI tokens at the end of February 2025,"select holder,
max_by(running_balance, balance_change_time) as balance
from agents.smart.running_token_balances
left join agents.smart.virtuals_agents on token_address=agent_token_address
where lower(name)='vaderai'
and balance_change_time <= '2025-02-28 23:00:00'
group by holder
having balance>0;"
